year,month,day,close,close_lag,close_prev_year
2019,4,5,965.25,969.75,1000.5
2019,4,9,964,964.5,1006
2019,4,10,966,964,1011.25
2019,4,11,960.5,966,1010.75
2019,4,12,959.75,960.5,1008.25
2019,4,16,954,962.75,1003.75
2019,4,17,946.25,954,1006
2019,4,18,947.5,946.25,1007.75
2019,4,23,932.75,944,1001
2019,4,24,926,932.75,996
2019,4,25,929.75,926,998
2019,4,26,924.25,929.75,997
2019,4,30,912.5,917.25,1005.75
2019,5,1,911.25,912.5,1012.5
2019,5,2,904.5,911.25,1004.75
2019,5,3,905,904.5,1005
2019,5,7,895.75,897,989.25
2019,5,8,894,895.75,991.25
2019,5,9,882.5,894,988
2019,5,10,881.75,882.5,992.75
2019,5,14,903.25,878,990.5
2019,5,15,904,903.25,990.5
2019,5,16,907.5,904,990
2019,5,17,890,907.5,989.75
2019,5,21,890,899.5,1004.5
2019,5,22,896.75,890,1006.25
2019,5,23,893,896.75,1014
2019,5,24,898.75,893,1012.25
2019,5,29,932.75,921.75,1005.75
2019,5,30,945.25,932.75,1007.5
2019,5,31,937,945.25,1008.5
2019,6,4,944.25,939.5,1002.25
2019,6,5,935,944.25,1006.25
2019,6,6,933.75,935,1004
2019,6,7,924.75,933.75,997.5
2019,6,11,930.25,928.75,985
2019,6,12,943.25,930.25,985.25
2019,6,13,948.5,943.25,975.75
2019,6,14,952,948.5,966.75
2019,6,18,961.75,962.25,954.5
2019,6,19,956.5,961.75,943.75
2019,6,20,969.75,956.5,946
2019,6,21,957.75,969.75,937.25
2019,6,25,955,963.25,928.75
2019,6,26,947.75,955,924.75
2019,6,27,945.75,947.75,926.25
2019,6,28,955,945.75,922.75
2019,7,2,936.75,944.5,915.75
2019,7,3,946,936.75,913.25
2019,7,5,933,946,905.25
2019,7,9,943.5,936.25,919.75
2019,7,10,950.75,943.5,923.75
2019,7,11,955,950.75,910
2019,7,12,966,955,912
2019,7,16,944.5,956,913.5
2019,7,17,939.5,944.5,917.5
2019,7,18,938.75,939.5,919
2019,7,19,956.5,938.75,924.25
2019,7,23,944.25,945.5,925.75
2019,7,24,949.25,944.25,934.25
2019,7,25,943.75,949.25,938.5
2019,7,26,945.25,943.75,934.5
2019,7,30,944,948.75,946.75
2019,7,31,931.75,944,968
2019,8,1,915.25,931.75,958
2019,8,2,917.25,915.25,956.75
2019,8,6,913.5,916.75,952.5
2019,8,7,913.75,913.5,962.75
2019,8,8,929,913.75,969.25
2019,8,9,937.25,929,963
2019,8,13,935.75,927.75,937
2019,8,14,925.75,935.75,944.5
2019,8,15,919,925.75,940.5
2019,8,16,928,919,960.25
2019,8,20,917.5,916.5,955.5
2019,8,21,922,917.5,953.5
2019,8,22,917.25,922,942.75
2019,8,23,908.25,917.25,927.25
2019,8,27,908,914.75,926.5
2019,8,28,913,908,919
2019,8,29,914.75,913,921.75
2019,8,30,914.25,914.75,915.75
