year,month,day,close,close_lag,close_prev_year
2019,7,26,925.75,924.5,919.5
2019,7,30,922.25,929.25,932
2019,7,31,908.5,922.25,953.25
2019,8,1,891.75,908.5,943
2019,8,2,894.25,891.75,941.75
2019,8,6,890.75,893.75,938.5
2019,8,7,891.75,890.75,949
2019,8,8,907.5,891.75,955.75
2019,8,9,916,907.5,949.25
2019,8,13,914,905.25,921.75
2019,8,14,903.75,914,928.75
2019,8,15,897,903.75,925.25
2019,8,16,906.5,897,945.75
2019,8,20,895.25,893.75,941
2019,8,21,900.25,895.25,937.75
2019,8,22,895.5,900.25,927.5
2019,8,23,885.25,895.5,912
2019,8,27,886.25,893.5,911.5
2019,8,28,892,886.25,904
2019,8,29,894,892,906.5
2019,8,30,894.25,894,900.75
